epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.3754201829433441,0.6257383227348328,1.7350172996520996,1e-04,0.38992270827293396,0.2861344516277313,0.25,0.5034065842628479,1.464238166809082,0.0,0.0
1,0.21386554837226868,0.46709415316581726,2.0684938430786133,1e-05,0.19440700113773346,0.1212184876203537,0.25,0.47969576716423035,1.4473133087158203,0.0,0.0
0,0.5231092572212219,0.7737019062042236,1.7416967153549194,0.001,0.5373134613037109,0.49915966391563416,0.25,0.5140379667282104,1.551908254623413,0.0,0.0
1,0.5207983255386353,0.7747300267219543,1.586606502532959,0.001,0.5384615659713745,0.49117645621299744,0.25,0.5318551659584045,1.898289442062378,0.25,0.25
2,0.5195378065109253,0.7711932063102722,1.462685227394104,0.001,0.5421218872070312,0.4691176414489746,0.25,0.5079593658447266,2.1153149604797363,0.25,0.25
3,0.5319327712059021,0.7769560217857361,1.3433393239974976,0.001,0.5546815395355225,0.45924368500709534,0.25,0.5124874711036682,2.748779773712158,0.25,0.25
4,0.3777310848236084,0.6370437145233154,1.5761382579803467,0.00020000001,0.441587895154953,0.24537815153598785,0.25,0.529271125793457,2.249763011932373,0.25,0.25
5,0.34348738193511963,0.6278066635131836,1.4525679349899292,0.00020000001,0.5351710915565491,0.23655462265014648,0.25,0.5319852828979492,2.35699725151062,0.25,0.25
6,0.3283613324165344,0.5759527683258057,2.023432970046997,5e-05,0.3475997745990753,0.25252100825309753,0.25,0.5080156326293945,1.6710363626480103,0.25,0.25
7,0.3105041980743408,0.5565816164016724,1.8083857297897339,5e-05,0.3357817530632019,0.20168067514896393,0.25,0.5294699668884277,1.6079906225204468,0.25,0.25
